"","X","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomePDO","AwayPDO","HomeTSR","AwayTSR","HomeWins","AwayWins"
"1",1,21650,2008-09-02,"Salavat Yulaev Ufa","Lokomotiv Yaroslavl",4,18,1,22,1177,823,0.45,0.55,"win","loss"
"2",2,21651,2008-09-02,"Amur Khabarovsk","Dinamo Riga",2,35,4,37,949,1051,0.486111111111111,0.513888888888889,"loss","win"
"3",3,21652,2008-09-02,"Metallurg Novokuznetsk","Dinamo Minsk",4,29,5,21,900,1100,0.58,0.42,"loss","win"
"4",4,21653,2008-09-02,"Spartak Moscow","Atlant Moscow Region",6,38,5,30,991,1009,0.558823529411765,0.441176470588235,"win","loss"
"5",5,21654,2008-09-02,"Vityaz Moscow Region","HC MVD",4,24,4,31,1038,962,0.436363636363636,0.563636363636364,"draw","draw"
"6",6,21655,2008-09-03,"Torpedo Nizhny Novgorod","CSKA Moscow",2,26,3,27,966,1034,0.490566037735849,0.509433962264151,"loss","win"
"7",7,21656,2008-09-03,"Amur Khabarovsk","Dinamo Riga",6,31,6,41,1047,953,0.430555555555556,0.569444444444444,"draw","draw"
"8",8,21657,2008-09-03,"Metallurg Novokuznetsk","Dinamo Minsk",5,29,2,27,1098,902,0.517857142857143,0.482142857142857,"win","loss"
"9",9,21658,2008-09-03,"Sibir Novosibirsk Region","Dynamo M",2,18,3,28,1004,996,0.391304347826087,0.608695652173913,"loss","win"
"10",10,21659,2008-09-03,"Metallurg Magnitogorsk","SKA Saint Petersburg",2,20,1,30,1067,933,0.4,0.6,"win","loss"
"11",11,21660,2008-09-03,"Traktor Chelyabinsk","Severstal Cherepovets",3,31,2,27,1023,977,0.53448275862069,0.46551724137931,"win","loss"
"12",12,21661,2008-09-03,"Ak Bars Kazan","Avangard Omsk Region",4,24,2,27,1093,907,0.470588235294118,0.529411764705882,"win","loss"
"13",13,21662,2008-09-03,"Neftekhimik Nizhnekamsk","Barys Astana",1,35,1,15,962,1038,0.7,0.3,"draw","draw"
"14",14,21663,2008-09-03,"Lada","Khimik",5,21,4,18,1016,984,0.538461538461538,0.461538461538462,"win","loss"
"15",15,21664,2008-09-04,"Atlant Moscow Region","Vityaz Moscow Region",4,27,1,20,1098,902,0.574468085106383,0.425531914893617,"win","loss"
"16",16,21665,2008-09-04,"Traktor Chelyabinsk","Lokomotiv Yaroslavl",2,31,5,32,908,1092,0.492063492063492,0.507936507936508,"loss","win"
"17",17,21666,2008-09-05,"Torpedo Nizhny Novgorod","Spartak Moscow",3,32,3,26,978,1022,0.551724137931034,0.448275862068966,"draw","draw"
"18",18,21667,2008-09-05,"HC MVD","CSKA Moscow",1,18,3,35,970,1030,0.339622641509434,0.660377358490566,"loss","win"
"19",19,21668,2008-09-05,"Amur Khabarovsk","Dynamo M",1,25,0,35,1040,960,0.416666666666667,0.583333333333333,"win","loss"
"20",20,21669,2008-09-05,"Metallurg Novokuznetsk","Dinamo Riga",7,27,0,35,1259,741,0.435483870967742,0.564516129032258,"win","loss"
"21",21,21670,2008-09-05,"Sibir Novosibirsk Region","Dinamo Minsk",1,22,2,14,903,1097,0.611111111111111,0.388888888888889,"loss","win"
"22",22,21671,2008-09-05,"Metallurg Magnitogorsk","Severstal Cherepovets",3,39,3,43,1007,993,0.475609756097561,0.524390243902439,"draw","draw"
"23",23,21672,2008-09-05,"Salavat Yulaev Ufa","SKA Saint Petersburg",3,19,1,17,1099,901,0.527777777777778,0.472222222222222,"win","loss"
"24",24,21673,2008-09-05,"Ak Bars Kazan","Khimik",4,23,0,23,1174,826,0.5,0.5,"win","loss"
"25",25,21674,2008-09-05,"Neftekhimik Nizhnekamsk","Avangard Omsk Region",3,22,1,12,1053,947,0.647058823529412,0.352941176470588,"win","loss"
"26",26,21675,2008-09-05,"Lada","Barys Astana",2,31,1,19,1012,988,0.62,0.38,"win","loss"
"27",27,21676,2008-09-06,"Metallurg Magnitogorsk","Lokomotiv Yaroslavl",2,31,4,29,927,1073,0.516666666666667,0.483333333333333,"loss","win"
"28",28,21677,2008-09-07,"Torpedo Nizhny Novgorod","Vityaz Moscow Region",5,33,3,21,1009,991,0.611111111111111,0.388888888888889,"win","loss"
"29",29,21678,2008-09-07,"HC MVD","Spartak Moscow",2,18,2,27,1037,963,0.4,0.6,"draw","draw"
"30",30,21679,2008-09-07,"Amur Khabarovsk","Dinamo Minsk",1,26,0,24,1038,962,0.52,0.48,"win","loss"
