"","X","X.1","GameId","Date","HomeTeam","AwayTeam","HomeGoals","HomeShots","AwayGoals","AwayShots","HomeWins","AwayWins","HomePDO","AwayPDO","HomeTSR","AwayTSR"
"1",1,1,37778,2013-09-04,"Dynamo Moscow","Traktor Chelyabinsk",5,39,1,20,"win","loss",1078,922,0.661016949152542,0.338983050847458
"2",2,2,37779,2013-09-05,"Metallurg Novokuznetsk","Sibir Novosibirsk Region",3,17,2,34,"win","loss",1118,882,0.333333333333333,0.666666666666667
"3",3,3,37780,2013-09-05,"Atlant Moscow Region","Spartak Moscow",0,37,2,32,"loss","win",938,1062,0.536231884057971,0.463768115942029
"4",4,4,37781,2013-09-05,"Dinamo Riga","Dinamo Minsk",2,20,1,17,"win","loss",1041,959,0.540540540540541,0.459459459459459
"5",5,5,37782,2013-09-06,"Amur Khabarovsk","Admiral Vladivostok",3,34,3,35,"draw","draw",1003,997,0.492753623188406,0.507246376811594
"6",6,6,37783,2013-09-06,"Avangard Omsk Region","SKA Saint Petersburg",1,28,5,32,"loss","win",879,1121,0.466666666666667,0.533333333333333
"7",7,7,37784,2013-09-06,"Ugra Khanty-Mansiysk","Lokomotiv Yaroslavl",2,40,1,36,"win","loss",1022,978,0.526315789473684,0.473684210526316
"8",8,8,37785,2013-09-06,"Avtomobilist Yekaterinburg","Severstal Cherepovets",1,37,1,28,"draw","draw",991,1009,0.569230769230769,0.430769230769231
"9",9,9,37786,2014-02-26,"Ak Bars Kazan","Neftekhimik Nizhnekamsk",7,25,3,32,"win","loss",1186,814,0.43859649122807,0.56140350877193
"10",10,10,37787,2013-09-06,"Torpedo Nizhny Novgorod","Salavat Yulaev Ufa",2,23,2,33,"draw","draw",1026,974,0.410714285714286,0.589285714285714
"11",11,11,37788,2013-09-06,"Vityaz Moscow Region","Traktor Chelyabinsk",5,32,3,16,"win","loss",969,1031,0.666666666666667,0.333333333333333
"12",12,12,37789,2013-09-06,"Dynamo Moscow","Metallurg Magnitogorsk",3,29,1,29,"win","loss",1069,931,0.5,0.5
"13",13,13,37790,2013-09-06,"Donbass Donetsk","Slovan Bratislava",4,35,2,15,"win","loss",981,1019,0.7,0.3
"14",14,14,37791,2013-09-06,"Medvescak Zagreb","CSKA Moscow",7,30,1,28,"win","loss",1198,802,0.517241379310345,0.482758620689655
"15",15,15,37792,2013-09-08,"Avangard Omsk Region","Lokomotiv Yaroslavl",5,30,2,34,"win","loss",1108,892,0.46875,0.53125
"16",16,16,37793,2013-09-08,"Ugra Khanty-Mansiysk","Atlant Moscow Region",4,20,1,30,"win","loss",1167,833,0.4,0.6
"17",17,17,37794,2013-09-08,"Avtomobilist Yekaterinburg","SKA Saint Petersburg",4,32,6,42,"loss","win",982,1018,0.432432432432432,0.567567567567568
"18",18,18,37795,2013-09-08,"Barys Astana","Severstal Cherepovets",10,37,1,27,"win","loss",1233,767,0.578125,0.421875
"19",19,19,37796,2013-09-08,"Torpedo Nizhny Novgorod","Traktor Chelyabinsk",3,28,4,13,"loss","win",799,1201,0.682926829268293,0.317073170731707
"20",20,20,37797,2013-09-08,"Ak Bars Kazan","Salavat Yulaev Ufa",3,28,3,44,"draw","draw",1039,961,0.388888888888889,0.611111111111111
"21",21,21,37798,2013-09-08,"Vityaz Moscow Region","Metallurg Magnitogorsk",4,22,5,35,"loss","win",1039,961,0.385964912280702,0.614035087719298
"22",22,22,37799,2013-09-08,"Dynamo Moscow","Neftekhimik Nizhnekamsk",4,33,0,31,"win","loss",1121,879,0.515625,0.484375
"23",23,23,37800,2013-09-08,"Spartak Moscow","Slovan Bratislava",5,20,0,23,"win","loss",1250,750,0.465116279069767,0.534883720930233
"24",24,24,37801,2013-09-08,"Dinamo Minsk","CSKA Moscow",1,21,2,29,"loss","win",979,1021,0.42,0.58
"25",25,25,37802,2013-09-08,"Donbass Donetsk","Lev Prague",3,39,2,29,"win","loss",1008,992,0.573529411764706,0.426470588235294
"26",26,26,37803,2013-09-08,"Medvescak Zagreb","Dinamo Riga",1,32,5,33,"loss","win",880,1120,0.492307692307692,0.507692307692308
"27",27,27,37804,2013-09-09,"Metallurg Novokuznetsk","Amur Khabarovsk",3,26,1,43,"win","loss",1092,908,0.376811594202899,0.623188405797101
"28",28,28,37805,2013-09-09,"Sibir Novosibirsk Region","Admiral Vladivostok",3,41,2,23,"win","loss",986,1014,0.640625,0.359375
"29",29,29,37806,2013-09-10,"Avangard Omsk Region","Severstal Cherepovets",3,41,3,38,"draw","draw",994,1006,0.518987341772152,0.481012658227848
"30",30,30,37807,2013-09-10,"Ugra Khanty-Mansiysk","SKA Saint Petersburg",1,34,5,34,"loss","win",882,1118,0.5,0.5
"31",31,31,37808,2013-09-10,"Avtomobilist Yekaterinburg","Atlant Moscow Region",2,38,2,29,"draw","draw",984,1016,0.567164179104478,0.432835820895522
"32",32,32,37809,2013-09-10,"Barys Astana","Lokomotiv Yaroslavl",5,35,3,28,"win","loss",1036,964,0.555555555555556,0.444444444444444
"33",33,33,37810,2013-09-10,"Ak Bars Kazan","Traktor Chelyabinsk",3,39,2,22,"win","loss",986,1014,0.639344262295082,0.360655737704918
"34",34,34,37811,2013-09-10,"Torpedo Nizhny Novgorod","Metallurg Magnitogorsk",5,27,0,20,"win","loss",1185,815,0.574468085106383,0.425531914893617
"35",35,35,37812,2013-09-10,"Vityaz Moscow Region","Neftekhimik Nizhnekamsk",1,24,0,38,"win","loss",1042,958,0.387096774193548,0.612903225806452
"36",36,36,37813,2013-09-10,"Dynamo Moscow","Salavat Yulaev Ufa",4,38,1,34,"win","loss",1076,924,0.527777777777778,0.472222222222222
"37",37,37,37814,2013-09-10,"Spartak Moscow","Dinamo Riga",1,24,3,27,"loss","win",931,1069,0.470588235294118,0.529411764705882
"38",38,38,37815,2013-09-10,"Donbass Donetsk","CSKA Moscow",1,23,4,32,"loss","win",918,1082,0.418181818181818,0.581818181818182
"39",39,39,37816,2013-09-10,"Dinamo Minsk","Slovan Bratislava",2,19,0,26,"win","loss",1105,895,0.422222222222222,0.577777777777778
"40",40,40,37817,2013-09-10,"Medvescak Zagreb","Lev Prague",1,25,3,31,"loss","win",943,1057,0.446428571428571,0.553571428571429
"41",41,41,37818,2013-09-11,"Metallurg Novokuznetsk","Admiral Vladivostok",1,35,2,39,"loss","win",977,1023,0.472972972972973,0.527027027027027
"42",42,42,37819,2013-09-11,"Sibir Novosibirsk Region","Amur Khabarovsk",2,45,2,41,"draw","draw",996,1004,0.523255813953488,0.476744186046512
"43",43,43,37820,2013-09-12,"Avangard Omsk Region","Atlant Moscow Region",4,28,3,22,"win","loss",1006,994,0.56,0.44
"44",44,44,37821,2013-09-12,"Barys Astana","SKA Saint Petersburg",2,36,5,37,"loss","win",920,1080,0.493150684931507,0.506849315068493
"45",45,45,37822,2013-09-12,"Ugra Khanty-Mansiysk","Severstal Cherepovets",3,33,1,30,"win","loss",1058,942,0.523809523809524,0.476190476190476
"46",46,46,37823,2013-09-12,"Avtomobilist Yekaterinburg","Lokomotiv Yaroslavl",0,28,4,30,"loss","win",867,1133,0.482758620689655,0.517241379310345
"47",47,47,37824,2013-09-12,"Ak Bars Kazan","Metallurg Magnitogorsk",3,21,2,31,"win","loss",1078,922,0.403846153846154,0.596153846153846
"48",48,48,37825,2013-09-12,"Torpedo Nizhny Novgorod","Neftekhimik Nizhnekamsk",0,31,2,28,"loss","win",929,1071,0.525423728813559,0.474576271186441
"49",49,49,37826,2013-09-12,"Vityaz Moscow Region","Salavat Yulaev Ufa",2,34,3,33,"loss","win",968,1032,0.507462686567164,0.492537313432836
"50",50,50,37827,2013-09-12,"Spartak Moscow","CSKA Moscow",3,24,2,30,"win","loss",1058,942,0.444444444444444,0.555555555555556
"51",51,51,37828,2013-09-12,"Donbass Donetsk","Dinamo Riga",2,36,4,24,"loss","win",889,1111,0.6,0.4
"52",52,52,37829,2013-09-12,"Dinamo Minsk","Lev Prague",1,30,3,22,"loss","win",897,1103,0.576923076923077,0.423076923076923
"53",53,53,37830,2013-09-13,"Medvescak Zagreb","Slovan Bratislava",3,26,4,35,"loss","win",1001,999,0.426229508196721,0.573770491803279
"54",54,54,37831,2013-09-14,"Barys Astana","Atlant Moscow Region",5,38,4,40,"win","loss",1032,968,0.487179487179487,0.512820512820513
"55",55,55,37832,2013-09-14,"Vityaz Moscow Region","Dynamo Moscow",0,18,2,36,"loss","win",944,1056,0.333333333333333,0.666666666666667
"56",56,56,37833,2013-09-14,"Spartak Moscow","Lev Prague",4,29,3,34,"win","loss",1050,950,0.46031746031746,0.53968253968254
"57",57,57,37834,2013-09-14,"CSKA Moscow","Dinamo Riga",1,21,1,18,"draw","draw",992,1008,0.538461538461538,0.461538461538462
"58",58,58,37835,2013-09-15,"Ugra Khanty-Mansiysk","Avtomobilist Yekaterinburg",1,40,2,25,"loss","win",945,1055,0.615384615384615,0.384615384615385
"59",59,59,37836,2013-09-24,"Traktor Chelyabinsk","Sibir Novosibirsk Region",1,20,0,27,"win","loss",1050,950,0.425531914893617,0.574468085106383
"60",60,60,37837,2013-09-16,"Metallurg Magnitogorsk","Metallurg Novokuznetsk",3,35,1,35,"win","loss",1057,943,0.5,0.5
"61",61,61,37838,2013-09-16,"Salavat Yulaev Ufa","Amur Khabarovsk",3,29,4,43,"loss","win",1010,990,0.402777777777778,0.597222222222222
"62",62,62,37839,2013-09-16,"Neftekhimik Nizhnekamsk","Admiral Vladivostok",5,38,5,33,"draw","draw",980,1020,0.535211267605634,0.464788732394366
"63",63,63,37840,2013-09-16,"Lokomotiv Yaroslavl","Donbass Donetsk",3,23,4,26,"loss","win",977,1023,0.469387755102041,0.530612244897959
"64",64,64,37841,2013-09-16,"Severstal Cherepovets","Dinamo Minsk",4,39,2,24,"win","loss",1019,981,0.619047619047619,0.380952380952381
"65",65,65,37842,2013-09-16,"SKA Saint Petersburg","Medvescak Zagreb",3,24,0,31,"win","loss",1125,875,0.436363636363636,0.563636363636364
"66",66,66,37843,2013-09-17,"Barys Astana","Avangard Omsk Region",5,35,2,25,"win","loss",1063,937,0.583333333333333,0.416666666666667
"67",67,67,37844,2013-09-17,"CSKA Moscow","Dynamo Moscow",6,34,3,29,"win","loss",1073,927,0.53968253968254,0.46031746031746
"68",68,68,37845,2013-09-17,"Dinamo Riga","Ak Bars Kazan",1,25,3,16,"loss","win",852,1148,0.609756097560976,0.390243902439024
"69",69,69,37846,2013-09-17,"Slovan Bratislava","Torpedo Nizhny Novgorod",0,20,3,22,"loss","win",864,1136,0.476190476190476,0.523809523809524
"70",70,70,37847,2013-09-17,"Lev Prague","Vityaz Moscow Region",4,34,1,23,"win","loss",1074,926,0.596491228070175,0.403508771929825
"71",71,71,37848,2013-09-18,"Traktor Chelyabinsk","Metallurg Novokuznetsk",5,36,1,19,"win","loss",1086,914,0.654545454545455,0.345454545454545
"72",72,72,37849,2013-09-18,"Metallurg Magnitogorsk","Sibir Novosibirsk Region",3,28,2,26,"win","loss",1030,970,0.518518518518518,0.481481481481481
